Date,Open,High,Low,Close,Adj Close,Volume
2021-02-08,51348.77344,51348.77344,51348.77344,51348.77344,51348.77344,0
2021-02-09,51329.07813,51329.07813,51329.07813,51329.07813,51329.07813,0
2021-02-10,51309.39063,51309.39063,51309.39063,51309.39063,51309.39063,0
2021-02-11,51531.51953,51531.51953,51531.51953,51531.51953,51531.51953,0
2021-02-12,51544.30078,51544.30078,51544.30078,51544.30078,51544.30078,0
2021-02-15,null,null,null,null,null,null
2021-02-16,52104.16797,52104.16797,52104.16797,52104.16797,52104.16797,0
2021-02-17,51703.82813,51703.82813,51703.82813,51703.82813,51703.82813,0
2021-02-18,51324.69141,51324.69141,51324.69141,51324.69141,51324.69141,0
2021-02-19,50889.76172,50889.76172,50889.76172,50889.76172,50889.76172,0
2021-02-22,49744.32031,49744.32031,49744.32031,49744.32031,49744.32031,0
2021-02-23,49751.40625,49751.40625,49751.40625,49751.40625,49751.40625,0
2021-02-24,50781.6875,50781.6875,50781.6875,50781.6875,50781.6875,0
2021-02-25,51039.30469,51039.30469,51039.30469,51039.30469,51039.30469,0
2021-02-26,49099.98828,49099.98828,49099.98828,49099.98828,49099.98828,0
2021-03-01,49849.84375,49849.84375,49849.84375,49849.84375,49849.84375,0
2021-03-02,50296.89453,50296.89453,50296.89453,50296.89453,50296.89453,0
2021-03-03,51444.64844,51444.64844,51444.64844,51444.64844,51444.64844,0
2021-03-04,50846.07422,50846.07422,50846.07422,50846.07422,50846.07422,0
2021-03-05,50405.32031,50405.32031,50405.32031,50405.32031,50405.32031,0
2021-03-08,50441.07031,50441.07031,50441.07031,50441.07031,50441.07031,0
2021-03-09,51025.48438,51025.48438,51025.48438,51025.48438,51025.48438,0
2021-03-10,51279.51172,51279.51172,51279.51172,51279.51172,51279.51172,0
2021-03-12,50792.07813,50792.07813,50792.07813,50792.07813,50792.07813,0
2021-03-15,50395.08594,50395.08594,50395.08594,50395.08594,50395.08594,0
2021-03-16,50363.96484,50363.96484,50363.96484,50363.96484,50363.96484,0
2021-03-17,49801.625,49801.625,49801.625,49801.625,49801.625,0
2021-03-18,49216.51953,49216.51953,49216.51953,49216.51953,49216.51953,0
2021-03-19,49858.24219,49858.24219,49858.24219,49858.24219,49858.24219,0
2021-03-22,49771.29297,49771.29297,49771.29297,49771.29297,49771.29297,0
2021-03-23,50051.44141,50051.44141,50051.44141,50051.44141,50051.44141,0
2021-03-24,49180.3125,49180.3125,49180.3125,49180.3125,49180.3125,0
2021-03-25,48440.12109,48440.12109,48440.12109,48440.12109,48440.12109,0
2021-03-26,49008.5,49008.5,49008.5,49008.5,49008.5,0
2021-03-30,50136.58203,50136.58203,50136.58203,50136.58203,50136.58203,0
2021-03-31,49509.14844,49509.14844,49509.14844,49509.14844,49509.14844,0
2021-04-01,null,null,null,null,null,null
2021-04-05,49159.32031,49159.32031,49159.32031,49159.32031,49159.32031,0
2021-04-06,49201.38672,49201.38672,49201.38672,49201.38672,49201.38672,0
2021-04-07,49661.75781,49661.75781,49661.75781,49661.75781,49661.75781,0
2021-04-08,49746.20703,49746.20703,49746.20703,49746.20703,49746.20703,0
2021-04-09,49591.32422,49591.32422,49591.32422,49591.32422,49591.32422,0
2021-04-12,47883.375,47883.375,47883.375,47883.375,47883.375,0
2021-04-13,48544.05859,48544.05859,48544.05859,48544.05859,48544.05859,0
2021-04-15,48803.67969,48803.67969,48803.67969,48803.67969,48803.67969,0
2021-04-16,48832.03125,48832.03125,48832.03125,48832.03125,48832.03125,0
